Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2000,21,015,NA,NA,12642.41,NA,NA,12323.605,NA,NA,11702.925,NA,NA,10595.288,NA,NA,9123.04,NA,NA,35812.212,NA,NA,7346.835,99546.315
2000,21,026,NA,NA,1500.978,NA,NA,1463.127,NA,NA,1389.436,NA,NA,1257.932,NA,NA,1083.138,NA,NA,4251.826,NA,NA,872.257,11818.694
2000,21,034,NA,NA,4093.869,NA,NA,3990.635,NA,NA,3789.646,NA,NA,3430.971,NA,NA,2954.226,NA,NA,11596.725,NA,NA,2379.055,32235.127
2000,21,041,NA,NA,10390.457,NA,NA,10128.441,NA,NA,9618.32,NA,NA,8707.983,NA,NA,7497.982,NA,NA,29433.097,NA,NA,6038.167,81814.447
2000,21,048,NA,NA,2154.721,NA,NA,2100.384,NA,NA,1994.598,NA,NA,1805.818,NA,NA,1554.894,NA,NA,6103.687,NA,NA,1252.165,16966.267
2000,21,060,NA,NA,851.722,NA,NA,830.244,NA,NA,788.428,NA,NA,713.807,NA,NA,614.621,NA,NA,2412.675,NA,NA,494.958,6706.455
2000,21,074,NA,NA,7175.726,NA,NA,6994.776,NA,NA,6642.483,NA,NA,6013.797,NA,NA,5178.162,NA,NA,20326.715,NA,NA,4170.003,56501.662
2000,21,090,NA,NA,2274.375,NA,NA,2217.023,NA,NA,2105.361,NA,NA,1906.097,NA,NA,1641.239,NA,NA,6442.634,NA,NA,1321.699,17908.428
2000,21,106,NA,NA,3153.071,NA,NA,3073.56,NA,NA,2918.759,NA,NA,2642.51,NA,NA,2275.325,NA,NA,8931.719,NA,NA,1832.332,24827.276
2000,21,114,NA,NA,171812.458,NA,NA,167479.871,NA,NA,159044.71,NA,NA,143991.736,NA,NA,123983.646,NA,NA,486693.98,NA,NA,99844.72,1352851.121
2000,21,119,NA,NA,12420.37,NA,NA,12107.166,NA,NA,11497.386,NA,NA,10409.203,NA,NA,8962.812,NA,NA,35183.243,NA,NA,7217.802,97797.982
2000,21,122,NA,NA,1081.552,NA,NA,1054.279,NA,NA,1001.181,NA,NA,906.422,NA,NA,780.472,NA,NA,3063.719,NA,NA,628.518,8516.143
2000,21,125,NA,NA,970.196,NA,NA,945.73,NA,NA,898.098,NA,NA,813.096,NA,NA,700.115,NA,NA,2748.278,NA,NA,563.806,7639.319
2000,21,132,NA,NA,16147.558,NA,NA,15740.365,NA,NA,14947.598,NA,NA,13532.866,NA,NA,11652.433,NA,NA,45741.264,NA,NA,9383.769,127145.853
2000,21,134,NA,NA,2256.32,NA,NA,2199.421,NA,NA,2088.647,NA,NA,1890.965,NA,NA,1628.209,NA,NA,6391.486,NA,NA,1311.206,17766.254
2000,21,136,NA,NA,1320.829,NA,NA,1287.521,NA,NA,1222.675,NA,NA,1106.953,NA,NA,953.139,NA,NA,3741.518,NA,NA,767.568,10400.203
2000,21,140,NA,NA,13618.791,NA,NA,13275.368,NA,NA,12606.751,NA,NA,11413.57,NA,NA,9827.619,NA,NA,38578.019,NA,NA,7914.237,107234.355
2000,21,143,NA,NA,3419.767,NA,NA,3333.531,NA,NA,3165.638,NA,NA,2866.022,NA,NA,2467.78,NA,NA,9687.192,NA,NA,1987.317,26927.247
2000,21,180,NA,NA,4160.599,NA,NA,4055.68,NA,NA,3851.415,NA,NA,3486.893,NA,NA,3002.379,NA,NA,11785.746,NA,NA,2417.833,32760.545
2000,21,181,NA,NA,713.574,NA,NA,695.581,NA,NA,660.548,NA,NA,598.029,NA,NA,514.932,NA,NA,2021.348,NA,NA,414.677,5618.689
2000,29,001,NA,NA,1075,NA,NA,1058.353,NA,NA,1020.934,NA,NA,953.151,NA,NA,847.536,NA,NA,3255.948,NA,NA,625.754,8836.676
