CVE_ENT,NOM_ENT,CVE_MUN,Microcuenca,NOM_MUN,Pobl2010,Pobl2015,Pobl2020,Pobr_Porc2010,Pobr_Porc2015,Pobr_Porc2020,Pobr_Pers2010,Pobr_Pers2015,Pobr_Pers2020,Pobr_CareProm2010,Pobr_CareProm2015,Pobr_CareProm2020,PobrExtr_Porc2010,PobrExtr_Porc2015,PobrExtr_Porc2020,PobrExtr_Pers2010,PobrExtr_Pers2015,PobrExtr_Pers2020,PobrExtr_CareProm2010,PobrExtr_CareProm2015,PobrExtr_CareProm2020,PobrMode_Porc2010,PobrMode_Porc2015,PobrMode_Porc2020,PobrMode_Pers2010,PobrMode_Pers2015,PobrMode_Pers2020,PobrMode_CareProm2010,PobrMode_CareProm2015,PobrMode_CareProm2020,VulnCarSoc_Porc2010,VulnCarSoc_Porc2015,VulnCarSoc_Porc2020,VulnCarSoc_Pers2010,VulnCarSoc_Pers2015,VulnCarSoc_Pers2020,VulnCarSoc_CareProm2010,VulnCarSoc_CareProm2015,VulnCarSoc_CareProm2020,VulnIngr_Porc2010,VulnIngr_Porc2015,VulnIngr_Porc2020,VulnIngr_Pers2010,VulnIngr_Pers2015,VulnIngr_Pers2020,NoPobNoVuln_Porc2010,NoPobNoVuln_Porc2015,NoPobNoVuln_Porc2020,NoPobNoVuln_Pers2010,NoPobNoVuln_Pers2015,NoPobNoVuln_Pers2020,RezaEduc_Porc2010,RezaEduc_Porc2015,RezaEduc_Porc2020,RezaEduc_Pers2010,RezaEduc_Pers2015,RezaEduc_Pers2020,RezaEduc_CareProm2010,RezaEduc_CareProm2015,RezaEduc_CareProm2020,CareServSalu_Porc2010,CareServSalu_Porc2015,CareServSalu_Porc2020,CareServSalu_Pers2010,CareServSalu_Pers2015,CareServSalu_Pers2020,CareServSalu_CareProm2010,CareServSalu_CareProm2015,CareServSalu_CareProm2020,CareSeguSoci_Porc2010,CareSeguSoci_Porc2015,CareSeguSoci_Porc2020,CareSeguSoci_Pers2010,CareSeguSoci_Pers2015,CareSeguSoci_Pers2020,CareSeguSoci_CareProm2010,CareSeguSoci_CareProm2015,CareSeguSoci_CareProm2020,CareCaliVivi_Porc2010,CareCaliVivi_Porc2015,CareCaliVivi_Porc2020,CareCaliVivi_Pers2010,CareCaliVivi_Pers2015,CareCaliVivi_Pers2020,CareCaliVivi_CareProm2010,CareCaliVivi_CareProm2015,CareCaliVivi_CareProm2020,CareServVivi_Porc2010,CareServVivi_Porc2015,CareServVivi_Porc2020,CareServVivi_Pers2010,CareServVivi_Pers2015,CareServVivi_Pers2020,CareServVivi_CareProm2010,CareServVivi_CareProm2015,CareServVivi_CareProm2020,CareAcceAlim_Porc2010,CareAcceAlim_Porc2015,CareAcceAlim_Porc2020,CareAcceAlim_Pers2010,CareAcceAlim_Pers2015,CareAcceAlim_Pers2020,CareAcceAlim_CareProm2010,CareAcceAlim_CareProm2015,CareAcceAlim_CareProm2020,Pobl1CarSoc_Porc2010,Pobl1CarSoc_Porc2015,Pobl1CarSoc_Porc2020,Pobl1CarSoc_Pers2010,Pobl1CarSoc_Pers2015,Pobl1CarSoc_Pers2020,Pobl1CarSoc_CareProm2010,Pobl1CarSoc_CareProm2015,Pobl1CarSoc_CareProm2020,Pobl3+CarSoc_Porc2010,Pobl3+CarSoc_Porc2015,Pobl3+CarSoc_Porc2020,Pobl3+CarSoc_Pers2010,Pobl3+CarSoc_Pers2015,Pobl3+CarSoc_Pers2020,Pobl3+CarSoc_CareProm2010,Pobl3+CarSoc_CareProm2015,Pobl3+CarSoc_CareProm2020,PoblIngInfLineaPobr_Porc2010,PoblIngInfLineaPobr_Porc2015,PoblIngInfLineaPobr_Porc2020,PoblIngInfLineaPobr_Pers2010,PoblIngInfLineaPobr_Pers2015,PoblIngInfLineaPobr_Pers2020,PoblIngInfLineaPobr_CareProm2010,PoblIngInfLineaPobr_CareProm2015,PoblIngInfLineaPobr_CareProm2020,PoblIngInfLineaPobrExtr_Porc2010,PoblIngInfLineaPobrExtr_Porc2015,PoblIngInfLineaPobrExtr_Porc2020,PoblIngInfLineaPobrExtr_Pers2010,PoblIngInfLineaPobrExtr_Pers2015,PoblIngInfLineaPobrExtr_Pers2020,PoblIngInfLineaPobrExtr_CareProm2010,PoblIngInfLineaPobrExtr_CareProm2015,PoblIngInfLineaPobrExtr_CareProm2020
29,Tlaxcala,001,1,Amaxac de Guerrero,10979,11238,11451,52.8709589367,43.0259207892,48.8567108107,5805,4835,5595,2.0433479017,1.7255059066,1.9606988026,6.1263082218,2.5391581407,5.7239538461,673,285,655,3.4072263702,3.4358703689,3.2784074946,46.7446507149,40.4867626485,43.1327569646,5132,4550,4939,1.8643044877,1.6173708012,1.7855218201,15.837934673,21.8818433176,19.7180215938,1739,2459,2258,1.726635528,1.6480084672,1.6822482232,12.7217146858,16.5174178704,12.1147333121,1397,1856,1387,18.5693917045,18.5748180228,19.3105342835,2039,2087,2211,8.8049178187,8.5442643439,8.9510477974,967,960,1025,2.6154155594,2.478544458,2.4757254751,29.8436160494,13.5149389535,31.9887961059,3277,1519,3663,2.3557146914,2.5036760301,2.3937812768,59.9949365144,53.686724777,58.1473777569,6587,6033,6658,2.0747097963,1.8064256623,1.991461885,6.7079056477,10.525731564,4.6811221402,736,1183,536,3.0161309695,2.5137082034,2.773532174,6.5018775886,6.2850072215,4.5895401794,714,706,526,3.0071783876,2.944404739,2.8518622327,23.6706550943,17.7678556621,20.6229576866,2599,1997,2362,2.5208979294,2.2275298621,2.4582865355,68.7088936097,64.9077641069,68.5747324045,7544,7294,7852,1.9724361956,1.6997122615,1.8808799851,13.1194324639,9.8119333847,13.7308273334,1440,1103,1572,3.3798763596,3.3346345501,3.2404434007,65.5926736225,59.5433386596,60.9714441227,7201,6691,6982,1.6466070464,1.2470246872,1.5711426498,24.4435212657,15.0798005081,22.8876302821,2684,1695,2621,1.9803104172,1.557562008,1.8255398493
29,Tlaxcala,005,1,Apizaco,77809,86716,82018,47.5612090099,38.9206228966,44.1998121302,37007,33750,36252,1.8811934613,1.6567793888,1.7353107799,4.435758818,1.5382784181,3.5112936225,3451,1334,2880,3.3384052672,3.2612306823,3.2005793484,43.1254501919,37.3823444785,40.6885185076,33555,32416,33372,1.7311764636,1.5907255319,1.6087035433,18.9407097006,26.488344004,23.8774417328,14738,22970,19584,1.7383045584,1.6136073304,1.5202403306,12.3006523044,13.4218636448,11.5416723541,9571,11639,9466,21.1974289852,21.1691694546,20.381073783,16494,18357,16716,9.1094512789,8.909662361,7.9043543927,7088,7726,6483,2.3668295687,2.2827698467,2.183185217,33.280671013,16.6398249785,22.2158904007,25895,14429,18221,2.2831785047,2.3380680472,2.2587754874,56.8351157137,53.7187393103,55.4558634526,44223,46583,45484,1.9470693432,1.7345812312,1.7744729866,4.849485912,4.0099511114,2.769537431,3773,3477,2272,2.7381015199,2.3536518573,2.5918010871,2.2871043461,2.91919031,1.293209589,1780,2531,1061,2.9198401979,2.5866522596,3.3325001677,16.0347581983,21.0322573903,23.3620120789,12476,18238,19161,2.5058985223,2.0414747392,2.0458149209,66.5019187105,65.4089669006,68.077253863,51744,56720,55836,1.8404970689,1.6393719477,1.6598916809,10.8165650809,8.1243099498,8.4153037419,8416,7045,6902,3.2652453506,3.1550693179,3.1533216915,59.8618613143,52.3424865414,55.7414844843,46578,45389,45718,1.4947610933,1.2319476406,1.376034293,20.0362168634,10.9028327897,19.320888489,15590,9455,15847,1.7970108087,1.5058875978,1.6530850413
29,Tlaxcala,003,1,Atlangatepec,7324,6650,7323,59.6690320749,61.9673149207,58.2440785673,4370,4121,4265,2.1153741987,1.9195575658,1.8128939326,8.1986942946,7.8212126164,6.0079433853,600,520,440,3.6314847895,3.312265803,3.2973378479,51.4703377803,54.1461023043,52.236135182,3770,3601,3825,1.8736481389,1.718217152,1.6420231734,35.5906897531,30.2863212943,31.6750433276,2607,2014,2320,1.882183099,1.6039249304,1.5307311801,1.4777178541,2.2459552214,3.3147024841,108,149,243,3.2625603179,5.5004085635,6.766175621,239,366,495,27.6468918535,20.9838208858,19.1941074523,2025,1395,1406,2.7381930185,2.4657320872,2.359668924,20.3803576497,9.5277006047,11.3662622761,1493,634,832,2.8440111421,2.6106346484,2.6823379924,87.4254896395,81.3041346625,80.2281917966,6403,5407,5875,2.0701298701,1.8645226131,1.7499549955,17.6554073233,8.3673802909,9.5320623917,1293,556,698,3.268488746,3.029296875,2.7818181818,18.7056485949,23.1573786566,19.1941074523,1370,1540,1406,3.1016691958,2.6640790402,2.6094808126,21.4022140221,24.1869586534,14.5725014443,1567,1608,1067,3.200265252,2.5885135135,2.5659068385,95.259721828,92.2536362151,89.9191218949,6977,6135,6585,2.0283075089,1.8159433127,1.713620302,26.0857223957,19.1044288282,14.6880415945,1911,1270,1076,3.4755168662,3.2668947819,3.2772861357,61.146749929,64.2132701422,61.5587810514,4478,4270,4508,2.0642727849,1.8524381194,1.7152856538,22.9764405336,23.9343029907,22.9273541306,1683,1592,1679,2.2601258953,2.0794630079,1.9167774211
29,Tlaxcala,009,1,Cuaxomulco,5053,5316,6125,64.086833029,64.1232258065,55.4579276773,3238,3409,3397,2.1814514661,1.8292433123,1.7521450844,11.7831203084,7.7133333333,5.1175243394,595,410,313,3.5023990426,3.2921889974,3.3163670576,52.3037127206,56.4098924731,50.340403338,2643,2999,3083,1.883596801,1.6289885332,1.5927147312,22.4215865287,20.5649462366,25.261821975,1133,1093,1547,1.9890408523,1.5663463445,1.5205702716,7.3337390952,6.8393548387,8.9966968011,371,364,551,6.1578413471,8.4724731183,10.2835535466,311,450,630,14.9928991682,12.6451612903,11.6655076495,758,672,715,2.8037889039,2.4115646259,2.1400894188,26.4556705214,9.5268817204,15.1251738526,1337,506,926,2.8197852761,2.5259593679,2.5770114943,75.5731385677,73.2043010753,69.471488178,3819,3892,4255,2.2279194631,1.8172737955,1.738988989,17.0825725299,10.3225806452,11.1787204451,863,549,685,3.1448931116,2.8375,2.7200622084,30.1278149726,19.0107526882,15.6293463143,1522,1011,957,2.9313131313,2.6346153846,2.446051168,20.1866504362,24.7956989247,12.5173852573,1020,1318,767,3.1929648241,2.4319167389,2.5611111111,86.5084195577,84.688172043,80.7197496523,4371,4502,4944,2.1318011257,1.7653631285,1.6797329313,27.5715155204,15.5053763441,12.5521557719,1393,824,769,3.4613686534,3.2635228849,3.2742382271,71.4205721242,70.9625806452,64.4546244784,3609,3772,3948,1.9574944422,1.6529927506,1.5076377134,33.6068167985,32.9066666667,23.4297635605,1698,1749,1435,2.127959011,1.8307058158,1.7489535372
29,Tlaxcala,011,1,Muñoz de Domingo Arenas,4266,4718,4913,56.3668111753,57.8616870877,43.6638942205,2405,2730,2145,2.0594151283,1.6378945725,1.6219351996,6.8379094412,3.8748821866,2.3073149925,292,183,113,3.7057296431,3.4414266705,3.3137741611,49.5289017341,53.986804901,41.356579228,2113,2547,2032,1.8320227518,1.5081938434,1.5274194537,35.7092967245,32.4776154571,40.9383663894,1523,1532,2011,1.7996255882,1.382684676,1.4348448287,2.4925337187,2.9865692743,4.5103433568,106,141,222,5.4313583815,6.674128181,10.8873960333,232,315,535,18.8824662813,14.7973609802,13.6276391555,806,698,670,2.6505102041,2.2388535032,2.0907668232,32.1772639692,8.8595664467,17.1465131158,1373,418,842,2.6646706587,2.5212765957,2.2686567164,84.9951830443,82.3986804901,77.8204307955,3626,3888,3823,1.998583168,1.5716328281,1.5568648945,12.6685934489,7.3751178134,5.1183621241,540,348,251,3.3574144487,2.6805111821,2.7083333333,8.887283237,7.5164938737,5.2249946684,379,355,257,3.5989159892,2.8119122257,2.5020408163,22.7360308285,18.7323279925,10.6206014075,970,884,522,3.0413135593,2.4201257862,2.483935743,92.0761078998,90.3393025448,84.6022606099,3928,4262,4157,1.9586712006,1.5461658842,1.5313839173,21.7485549133,9.0480678605,7.9974408189,928,427,393,3.4861572536,3.3567708333,3.1893333333,58.859344894,60.8482563619,48.1742375773,2511,2871,2367,1.9722330909,1.5575421244,1.4701210365,20.0590077071,22.4071630537,13.4713158456,856,1057,662,2.2181535965,1.7435592118,1.6470882573
29,Tlaxcala,052,1,San José Teacalco,5656,5973,6650,81.6801935964,81.5342069763,81.0387363074,4620,4870,5389,2.3081794531,1.9624342446,1.9281867596,18.0416976917,13.2304875699,11.7872678203,1020,790,784,3.548934767,3.4407604737,3.4351622447,63.6384959047,68.3037194064,69.2514684871,3599,4080,4605,1.9562451745,1.675938628,1.6715827561,14.4851079672,12.9348622085,10.8806159708,819,773,724,2.0682714792,1.6113902749,1.656181727,2.211839166,3.1246868375,5.1433560883,125,187,342,1.6228592703,2.4062439776,2.9372916336,92,144,195,24.7766195086,20.1002119869,18.1616129544,1401,1201,1208,3.0277986476,2.656759348,2.6153846154,35.2196574832,12.3723260744,32.4972217812,1992,739,2161,2.8631078224,2.6183800623,2.5520273571,89.7431124348,86.2979379457,83.5688204477,5076,5155,5557,2.3235843186,1.9307726664,1.9352203647,21.6865227104,14.6270957795,12.0654072075,1227,874,802,3.3690987124,3.093544137,2.9776315789,32.129560685,23.5112738485,15.8596602635,1817,1404,1055,3.117612978,2.9286885246,3.0790790791,14.9478778853,23.9352476392,12.1289093507,845,1430,807,3.4707347447,2.846215781,3.1178010471,96.1653015637,94.4690691848,91.9193522781,5439,5643,6113,2.2721641502,1.9143206854,1.8960276339,34.3261355175,21.9117363654,19.9714240356,1941,1309,1328,3.4956616052,3.3931398417,3.4046104928,83.8920327625,84.6588938138,86.1820923956,4745,5057,5731,2.247341202,1.8900112545,1.8131226314,44.5846984363,44.5843129697,46.0862041594,2522,2663,3065,2.3787089293,2.0696426444,1.9496386249
29,Tlaxcala,055,1,San Lucas Tecopilco,2820,3157,3179,76.989292543,75.6063480482,75.2210456651,2171,2387,2391,1.9800950996,1.8035791078,1.5424827283,11.7973231358,9.7095950383,6.1972203839,333,307,197,3.4325302821,3.3490447147,3.2383083609,65.1919694073,65.8967530099,69.0238252813,1838,2080,2194,1.7170856008,1.5758419773,1.3901469818,14.1770554493,12.2448011675,12.2706816678,400,387,390,1.8114170224,1.5579152197,1.4365195787,5.4952198853,6.9069682598,7.8659827929,155,218,250,3.3384321224,5.2418825246,4.6422898743,94,165,148,19.65583174,15.6147391463,13.3355393779,554,493,424,2.6245136187,2.4205607477,2.0794044665,37.3231357553,17.9496534112,18.3322303111,1053,567,583,2.5297131148,2.6402439024,2.3935018051,82.447418738,75.6293323605,79.3183322303,2325,2388,2522,2.0111317254,1.8060781476,1.5536086775,12.6577437859,11.2367748997,4.8974189279,357,355,156,3.1933534743,2.6818181818,2.7432432432,17.1701720841,11.9664356074,6.1548643283,484,378,196,2.7973273942,2.9756097561,2.752688172,8.8718929254,23.0572783656,11.6148246195,250,728,369,3.150862069,2.6075949367,2.4643874644,91.1663479924,87.8511492156,87.4917273329,2571,2773,2781,1.9538590604,1.7695182724,1.5276096823,20.2294455067,16.4903319956,9.2984778293,570,521,296,3.381852552,3.3274336283,3.2348754448,82.4845124283,82.5133163079,83.087028458,2326,2605,2641,1.8481827529,1.6525969868,1.3964697141,45.9086042065,43.8584458227,44.3067504964,1295,1385,1409,1.9859196408,1.7927293407,1.5423700326
29,Tlaxcala,026,1,Santa Cruz Tlaxcala,19202,21208,24409,53.079493003,44.2506075908,48.225151089,10192,9385,11771,2.2710042413,1.7189496454,1.9713052361,9.0571119302,2.8051141336,5.3517189276,1739,595,1306,3.7147054224,3.4558343676,3.3736611138,44.0223810728,41.4454934572,42.8734321614,8453,8790,10465,1.9732533721,1.6013423257,1.7959742549,20.0066008217,22.672117439,22.0327012173,3842,4808,5378,1.8949299551,1.6038485623,1.5850157342,8.1292216011,14.7922899598,10.1932629952,1561,3137,2488,18.7846845742,18.2849850103,19.5488846985,3607,3878,4772,15.0503344979,10.6915787761,9.26314122,2890,2267,2261,2.9448740941,2.4861479334,2.4719013517,29.1349636038,11.0481520935,25.1159767903,5594,2343,6131,2.6722369809,2.6085237787,2.5148886613,62.329647847,55.6264815338,58.1427474884,11969,11797,14192,2.3220185653,1.765179835,1.9649262916,10.353914224,9.2289983034,5.142443546,1988,1957,1255,3.6291126176,2.7209593503,2.8123386927,16.2719050935,9.1243491649,6.0021380555,3125,1935,1465,3.2380380224,2.5947618793,3.0232346855,25.316755678,16.7326390217,26.3314912213,4861,3549,6427,3.0513564764,2.2351941386,2.387888701,73.0860938246,66.9227250298,70.2578523063,14034,14193,17149,2.1680939923,1.6803290488,1.8502976401,22.5678301369,10.17959342,14.469819883,4333,2159,3532,3.5791000151,3.3527582909,3.2719969232,61.2087146041,59.0428975507,58.4184140841,11753,12522,14259,1.9694841211,1.2883607851,1.6273944047,21.3459615799,14.2056208449,19.5058396869,4099,3013,4761,2.4289143184,1.6402466235,1.9094676095
29,Tlaxcala,031,1,Tetla de la Solidaridad,29442,36370,34246,62.0989451341,45.852888286,53.3907156614,18283,16677,18284,2.0889497392,1.7342230936,1.8476970895,9.5825839401,2.7255425902,5.417513292,2821,991,1855,3.5769366181,3.4100169936,3.2806200528,52.5163611941,43.1273456958,47.9732023694,15462,15685,16429,1.8172383973,1.62834064,1.6856914228,17.9461146905,23.3653380102,22.8394955272,5284,8498,7822,1.8040650147,1.5665593349,1.5826872427,9.36467717,13.7991697306,9.7024813176,2757,5019,3323,10.5902630054,16.9826039733,14.0673074939,3118,6177,4817,13.8026088853,11.6889317517,12.3872962658,4064,4251,4242,2.9446017177,2.378250014,2.4142648247,31.1480946951,10.2054909476,25.8948278647,9171,3712,8868,2.6751721257,2.5673743993,2.4733445755,66.0784803224,52.8166727337,62.0039087164,19455,19209,21234,2.1729503982,1.7955503592,1.9004591218,7.4916714146,6.2204731371,5.1142296083,2206,2262,1751,3.5424592962,2.6879061226,2.6179622455,19.4464012695,12.4316480066,5.3977274083,5725,4521,1849,2.8347762929,2.4916223665,2.5718240464,24.1238204458,22.761118328,24.0084998313,7103,8278,8222,2.8823579803,2.0665268801,2.2667079853,80.0450598246,69.2182262961,76.2302111886,23567,25175,26106,2.0249978873,1.6776554546,1.7684129113,21.5845042873,10.5178360971,14.2011362196,6355,3825,4863,3.4981676369,3.2721686563,3.2205469177,71.4636223041,59.6520580166,63.093196979,21040,21695,21607,1.8152718782,1.3331250027,1.5635492669,27.2229390145,13.5668302993,21.3166536329,8015,4934,7300,2.1457498069,1.7055938876,1.8427867334
29,Tlaxcala,034,1,Tlaxco,37863,41848,42939,79.3566416724,60.2214432976,67.5362082009,30047,25201,28999,2.2904415085,1.7790539079,1.9378001409,17.816190186,3.8098909592,8.2000469636,6746,1594,3521,3.5901692379,3.3085156456,3.3869719904,61.5404514864,56.4115523385,59.3361612373,23301,23607,25478,1.9137359674,1.6757908802,1.7373890859,14.8024774566,28.3532894263,22.4017193078,5605,11865,9619,1.9194052495,1.6018307349,1.6365937573,2.7649495795,5.3598441303,4.5666012189,1047,2243,1961,3.0759312915,6.0654231457,5.4954712724,1165,2538,2360,23.3591360879,20.6401304824,20.1979487788,8844,8637,8673,3.0494687251,2.4122817426,2.5145034841,20.3066170262,9.556703496,16.9401377698,7689,3999,7274,3.0461734313,2.5028652055,2.6548899551,88.1212258912,79.6895843157,79.4442201272,33365,33348,34113,2.2721068033,1.7537372489,1.9299320697,15.0259540301,12.2590475248,11.1661323341,5689,5130,4795,3.6183662991,2.6685267474,2.9677572892,23.2958860949,10.6728586898,8.4159525237,8821,4466,3614,3.4015313264,2.7103495957,3.1569480381,40.088897767,19.7438978031,31.3768199948,15179,8262,13473,3.130528395,2.4405363349,2.5647876216,94.159119129,88.574732724,89.9379275087,35651,37067,38618,2.2323670701,1.722412449,1.8628538167,33.1524835603,14.501295482,19.9079397288,12553,6069,8548,3.5631321827,3.2209198298,3.3142309718,82.121591252,65.581287428,72.1028094199,31094,27444,30960,2.2133461695,1.6336531576,1.8150982979,40.5608898178,17.6612699913,29.6180436024,15358,7391,12718,2.4439972832,1.8096866522,2.0079495551
