CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
21,1,3099.628,3285.151,6384.779,3166.262,3342.921,6509.183,3204.202,3371.876,6576.078,3199.473,3338.082,6537.555,3098.069,3166.356,6264.425,16345.202,14649.239,30994.441,4174.746,3370.77,7545.516
21,4,2683.051,2843.765,5526.816,2740.73,2893.773,5634.503,2773.572,2918.838,5692.41,2769.478,2889.584,5659.062,2681.702,2740.931,5422.633,14148.478,12680.997,26829.475,3613.679,2917.88,6531.559
21,15,5632.24,5955.226,11587.466,5753.319,6059.95,11813.269,5822.259,6112.44,11934.699,5813.665,6051.179,11864.844,5629.407,5739.879,11369.286,29700.37,26555.717,56256.087,7585.806,6110.433,13696.239
21,18,176.201,182.515,358.716,179.989,185.724,365.713,182.146,187.333,369.479,181.877,185.455,367.332,176.112,175.915,352.027,929.157,813.875,1743.032,237.317,187.272,424.589
21,19,6425.481,6405.293,12830.774,6563.612,6517.931,13081.543,6642.262,6574.388,13216.65,6632.458,6508.497,13140.955,6422.249,6173.671,12595.92,33883.351,28562.668,62446.019,8654.185,6572.231,15226.416
21,20,313.533,331.91,645.443,320.274,337.746,658.02,324.111,340.672,664.783,323.633,337.258,660.891,313.376,319.907,633.283,1653.349,1480.061,3133.41,422.284,340.56,762.844
21,22,604.637,577.322,1181.959,617.635,587.475,1205.11,625.036,592.563,1217.599,624.113,586.624,1210.737,604.332,556.446,1160.778,3188.417,2574.413,5762.83,814.357,592.369,1406.726
21,26,678.538,673.907,1352.445,693.125,685.758,1378.883,701.43,691.698,1393.128,700.395,684.765,1385.16,678.196,649.538,1327.734,3578.119,3005.106,6583.225,913.891,691.471,1605.362
21,34,1810.888,1918.585,3729.473,1849.818,1952.323,3802.141,1871.983,1969.234,3841.217,1869.22,1949.497,3818.717,1809.977,1849.207,3659.184,9549.318,8555.407,18104.725,2439.002,1968.587,4407.589
21,37,111.14,105.689,216.829,113.529,107.547,221.076,114.89,108.479,223.369,114.72,107.392,222.112,111.084,101.867,212.951,586.073,471.291,1057.364,149.69,108.443,258.133
